"state","violation_raw","violation","violation_clean"
"ND","Drove on left half of roadway","Drove on left half of roadway","Safe movement"
"ND","Drove onto restricted access highway","Drove onto restricted access highway","Safe movement"
"ND","Drove or in actual physical control of a motor vehicle while under the influence of alcohol or drugs and/or with AC of .08 or greater and/or","Drove or in actual physical control of a motor vehicle while under the influence of alcohol or drugs and/or with AC of .08 or greater and/or","DUI"
"ND","Drove snowmobile while under the influence of intoxicating liquor or drugs","Drove snowmobile while under the influence of intoxicating liquor or drugs","DUI"
"ND","Drove snowmobile while under the influence","Drove snowmobile while under the influence","DUI"
"ND","Drove through safety zone when prohibited","Drove through safety zone when prohibited","Safe movement"
"ND","Drove thru red light/Fail to yield to pedestrian","Drove thru red light/Fail to yield to pedestrian","Stop sign/light"
"ND","Drove veh with leaking or shifting load","Drove veh with leaking or shifting load","Equipment"
"ND","Drove vehicle other than permitted by license","Drove vehicle other than permitted by license","Paperwork"
"ND","Drove while license suspended(4 or more offenses)","Drove while license suspended(4 or more offenses)","License"
"ND","Drove with studded tires/spike/metal flange","Drove with studded tires/spike/metal flange","Equipment"
"ND","Drove without headlamps when required","Drove without headlamps when required","Lights"
"ND","Drove without taillights when required","Drove without taillights when required","Lights"
"ND","Drove without\expired operators license","Drove without\expired operators license","License"
"ND","Drove wrong way on one way roadway","Drove wrong way on one way roadway","Safe movement"
"ND","Duty to give information and render aid","Duty to give information and render aid","Other"
"ND","Entered intersection or RR grade crossing","Entered intersection or RR grade crossing","Safe movement"
"ND","Escape from detention for a felony offense","Escape from detention for a felony offense","Other"
"ND","Escape from detention using force/threat of force","Escape from detention using force/threat of force","Other"
"ND","Exceeded gross weight for which registered","Exceeded gross weight for which registered","Truck"
"ND","Exceeded speed limit in construction zone (Workers Present)","Exceeded speed limit in construction zone (Workers Present)","Speeding"
"ND","Exceeded speed limit","Exceeded speed limit","Speeding"
"ND","Exhibition Driving","Exhibition Driving","Safe movement"
"ND","Extended load on side of vehicle","Extended load on side of vehicle","Equipment"
"ND","Fail to yield when overtaken","Fail to yield when overtaken","Safe movement"
"ND","Failed caution/stop at yellow/red light","Failed caution/stop at yellow/red light","Stop sign/light"
"ND","Failed to carry registration card in vehicle","Failed to carry registration card in vehicle","Paperwork"
"ND","Failed to change lanes for authorized emergency vehicle","Failed to change lanes for authorized emergency vehicle","Safe movement"
"ND","Failed to comply with requirements of Class D instruction permit","Failed to comply with requirements of Class D instruction permit","Paperwork"
"ND","Failed to dim headlamps for approaching veh","Failed to dim headlamps for approaching veh","Lights"
"ND","Failed to dim headlamps when following veh","Failed to dim headlamps when following veh","Lights"
"ND","Failed to display flares","Failed to display flares","Lights"
"ND","Failed to display number plates/tabs","Failed to display number plates/tabs","Registration/plates"
"ND","Failed to display slow moving emblem or amber ligh","Failed to display slow moving emblem or amber ligh","Lights"
"ND","Failed to have drivers license in possession or to physically surrender DL","Failed to have drivers license in possession or to physically surrender DL","License"
"ND","Failed to leave sufficient distance between trucks","Failed to leave sufficient distance between trucks","Safe movement"
"ND","Failed to pay mile tax when required","Failed to pay mile tax when required","Paperwork"
"ND","Failed to register motor vehicle  upon gainful employment","Failed to register motor vehicle  upon gainful employment","Registration/plates"
"ND","Failed to register OHV","Failed to register OHV","Paperwork"
"ND","Failed to register snowmobile","Failed to register snowmobile","Registration/plates"
"ND","Failed to register vehicle - passenger","Failed to register vehicle - passenger","Registration/plates"
"ND","Failed to register vehicle","Failed to register vehicle","Registration/plates"
"ND","Failed to stop before crossing roadway-OHV","Failed to stop before crossing roadway-OHV","Stop sign/light"
"ND","Failed to stop before crossing roadway-snowmobile","Failed to stop before crossing roadway-snowmobile","Stop sign/light"
"ND","Failed to stop for automatic RR crossing signal","Failed to stop for automatic RR crossing signal","Stop sign/light"
"ND","Failed to stop for RR crossing marked-stop sign","Failed to stop for RR crossing marked-stop sign","Stop sign/light"
"ND","Failed to yield at intersection","Failed to yield at intersection","Safe movement"
"ND","Failed to yield entering highway","Failed to yield entering highway","Safe movement"
"ND","Failed to yield from stopped or parked positon","Failed to yield from stopped or parked positon","Safe movement"
"ND","Failed to yield right of way entering freeway","Failed to yield right of way entering freeway","Safe movement"
"ND","Failed to yield right-of-way at intersection marked with a stop sign","Failed to yield right-of-way at intersection marked with a stop sign","Safe movement"
"ND","Failed to yield to emergency vehicle","Failed to yield to emergency vehicle","Safe movement"
"ND","Failure to comply with a lawful order of officer","Failure to comply with a lawful order of officer","Other"
"ND","Failure to give notice of reportable accident","Failure to give notice of reportable accident","Other"
"ND","Failure to obtain ND drivers license","Failure to obtain ND drivers license","License"
"ND","Failure to stop at RR crossing","Failure to stop at RR crossing","Stop sign/light"
"ND","Failure to tag Big Game Animal","Failure to tag Big Game Animal","Other"
"ND","Failure to transfer title of vehicle","Failure to transfer title of vehicle","Paperwork"
"ND","Failure to yield to emergency vehicle - causing an accident","Failure to yield to emergency vehicle - causing an accident","Safe movement"
"ND","False information to a police officer","False information to a police officer","Other"
"ND","False statement in a governmental matter","False statement in a governmental matter","Other"
"ND","Felon in Possession of a Firearm","Felon in Possession of a Firearm","Other"
"ND","Fleeing a peace officer (non-driver) >=3 offenses","Fleeing a peace officer (non-driver) >=3 offenses","Other"
"ND","Fleeing a police officer-subsequent off. in 3yrs","Fleeing a police officer-subsequent off. in 3yrs","Other"
"ND","Following emergency vehicle when prohibited","Following emergency vehicle when prohibited","Safe movement"
"ND","Following too close","Following too close","Safe movement"
"ND","Fraudulent Practice in Urine Testing","Fraudulent Practice in Urine Testing","Other"
"ND","Fraudulently defacing motor veh. identification no","Fraudulently defacing motor veh. identification no","Registration/plates"
"ND","Harassing a Law Enforcement Support Animal","Harassing a Law Enforcement Support Animal","Other"
"ND","Hazardous Material violations","Hazardous Material violations","Other"
"ND","Hindering/Interfering with an officer","Hindering/Interfering with an officer","Other"
"ND","Impeding traffic or slower than minimum speed","Impeding traffic or slower than minimum speed","Safe movement"
"ND","Improper color of clearance side marker","Improper color of clearance side marker","Equipment"
"ND","Improper drawbar or connections between vehicles","Improper drawbar or connections between vehicles","Paperwork"
"ND","Improper mirror","Improper mirror","Other"
"ND","Improper movement of heavy equipment-RR crossing","Improper movement of heavy equipment-RR crossing","Safe movement"
"ND","Improper snowmobile operation age/location","Improper snowmobile operation age/location","Paperwork"
"ND","Improper steering or suspension system","Improper steering or suspension system","Equipment"
"ND","Improper turn around","Improper turn around","Safe movement"
"ND","Indecent Exposure","Indecent Exposure","Other"
"ND","Inhalation of vapors prohibited","Inhalation of vapors prohibited","Other"
"ND","Inoperative seat belt","Inoperative seat belt","Seat belt"
"ND","Intoxicated person","Intoxicated person","Other"
"ND","Knowingly entered road closed due to hazardous conditions which is posted with a traffic-control device at the point of entry","Knowingly entered road closed due to hazardous conditions which is posted with a traffic-control device at the point of entry","Safe movement"
"ND","Leaving scene of accident involving attended veh","Leaving scene of accident involving attended veh","Other"
"ND","Leaving scene of accident involving unattened veh","Leaving scene of accident involving unattened veh","Other"
"ND","Leaving the scene of accid. involving injury/death","Leaving the scene of accid. involving injury/death","Other"
"ND","Leaving the scene of accident with a fixed object","Leaving the scene of accident with a fixed object","Other"
"ND","License plate light when required","License plate light when required","Lights"
"ND","Licenses to hunt/trap or fish required of resident","Licenses to hunt/trap or fish required of resident","Paperwork"
"ND","Littering","Littering","Other"
"ND","Livestock at large","Livestock at large","Other"
"ND","Lost or Mutilated Drivers License","Lost or Mutilated Drivers License","License"
"ND","Maintenance of brakes required","Maintenance of brakes required","Equipment"
"ND","Manslaughter","Manslaughter","Other"
"ND","Mobility impaired certificate or lic plate","Mobility impaired certificate or lic plate","Registration/plates"
"ND","Modification of motor vehicle","Modification of motor vehicle","Equipment"
"ND","Neglected signal when required","Neglected signal when required","Safe movement"
"ND","Negligent homicide","Negligent homicide","Safe movement"
"ND","No brakes,headlamp, or taillamp-OHV","No brakes,headlamp, or taillamp-OHV","Equipment"
"ND","No flag or lamp on projecting load(not operated)","No flag or lamp on projecting load(not operated)","Lights"
"ND","No headlamps","No headlamps","License"
"ND","No helmet worn - operator or passenger under 18 years - OHV","No helmet worn - operator or passenger under 18 years - OHV","Equipment"
"ND","No helmet worn","No helmet worn","Equipment"
"ND","No horn","No horn","Equipment"
"ND","No lamps on farm tractor,equipment when required","No lamps on farm tractor,equipment when required","Lights"
"ND","No lamps on other veh and equipment","No lamps on other veh and equipment","Lights"
"ND","No lamps or headlamps on high beam while parked","No lamps or headlamps on high beam while parked","Lights"
"ND","No mirror","No mirror","Equipment"
"ND","No muffler or defective exhaust system","No muffler or defective exhaust system","Equipment"
"ND","No seat belt","No seat belt","Seat belt"
"ND","No signal lamps when required","No signal lamps when required","Lights"
"ND","No speedometer or defective speedometer","No speedometer or defective speedometer","Equipment"
"ND","No valid drivers license in possession-snowmobile","No valid drivers license in possession-snowmobile","License"
"ND","No valid license in possession while operating OHV","No valid license in possession while operating OHV","License"
"ND","Notice of change of name or address","Notice of change of name or address","Paperwork"
"ND","Obstructed or caused injury to highway ditch","Obstructed or caused injury to highway ditch","Other"
"ND","Obstruction to drivers view or driving mechanism","Obstruction to drivers view or driving mechanism","Equipment"
"ND","Only red light permitted to rear","Only red light permitted to rear","Lights"
"ND","Open container of alcoholic beverage","Open container of alcoholic beverage","Other"
"ND","Opening door on veh when unsafe","Opening door on veh when unsafe","Other"
"ND","Operated motor veh not equipped with stop lamps","Operated motor veh not equipped with stop lamps","Lights"
"ND","Operated motor veh while backup lights lighted","Operated motor veh while backup lights lighted","Lights"
"ND","Operated new veh upon roadway without reflectors","Operated new veh upon roadway without reflectors","Lights"
"ND","Operated on shoulder of street, highway, or interstate when prohibited -OHV","Operated on shoulder of street, highway, or interstate when prohibited -OHV","Safe movement"
"ND","Operated veh in combination with inproper lights","Operated veh in combination with inproper lights","Lights"
"ND","Operated veh while equipped with excessive lamps","Operated veh while equipped with excessive lamps","Lights"
"ND","Operated veh with faulty or no windshield wipers","Operated veh with faulty or no windshield wipers","Equipment"
"ND","Operated veh with improperly aimed lamps","Operated veh with improperly aimed lamps","Lights"
"ND","Operated within right of way of interstate","Operated within right of way of interstate","Safe movement"
"ND","Operating a farm  vehicle for commercial purposes","Operating a farm  vehicle for commercial purposes","Other"
"ND","Operating a veh in violation of size or weight lim","Operating a veh in violation of size or weight lim","Equipment"
"ND","Operating an unsafe vehicle","Operating an unsafe vehicle","Other"
"ND","Operating OHV - Equipment Violation","Operating OHV - Equipment Violation","Equipment"
"ND","Operating without Size & Weight permit","Operating without Size & Weight permit","Paperwork"
"ND","Operation of ATV under 16 (without certificate)","Operation of ATV under 16 (without certificate)","Paperwork"
"ND","Operation of snowmobile without liability insuranc","Operation of snowmobile without liability insuranc","Paperwork"
"ND","Order Prohibiting contact","Order Prohibiting contact","Other"
"ND","Overtaking veh in same lane","Overtaking veh in same lane","Safe movement"
"ND","Overtook vehicle on the right when prohibited","Overtook vehicle on the right when prohibited","Safe movement"
"ND","Overtook when prohibited","Overtook when prohibited","Safe movement"
"ND","Overtook when unsafe","Overtook when unsafe","Safe movement"
"ND","Overtook/permitted overtaking of school bus - Driver","Overtook/permitted overtaking of school bus - Driver","Safe movement"
"ND","Overtook/permitted overtaking of school bus - Registered Owner","Overtook/permitted overtaking of school bus - Registered Owner","Safe movement"
"ND","Overweight limitations - Interstate","Overweight limitations - Interstate","Equipment"
"ND","Overweight Limitations - Other than Interstate","Overweight Limitations - Other than Interstate","Truck"
"ND","Overwidth,height,and length limitations","Overwidth,height,and length limitations","Truck"
"ND","Pedestrian standing on roadway solicting ride","Pedestrian standing on roadway solicting ride","Other"
"ND","Pedestrian suddenly moved into path of veh","Pedestrian suddenly moved into path of veh","Other"
"ND","Pedestrian under influence creating hazard","Pedestrian under influence creating hazard","Other"
"ND","Pedestrian walking wrong way or on roadway","Pedestrian walking wrong way or on roadway","Other"
"ND","Penalty for violation of a protection order (1 )","Penalty for violation of a protection order (1 )","Other"
"ND","Permitting unauthorized minor to drive","Permitting unauthorized minor to drive","Other"
"ND","Permitting unauthorized person to drive","Permitting unauthorized person to drive","License"
"ND","Person under 18 years of age not properly restrained","Person under 18 years of age not properly restrained","Other"
"ND","Physical Obstruction of Government Function","Physical Obstruction of Government Function","Other"
"ND","Possession of a controlled substance with intent to manufacture or deliver-sch.I,II,III or analog","Possession of a controlled substance with intent to manufacture or deliver-sch.I,II,III or analog","Other"
"ND","Possession of a Controlled Substance","Possession of a Controlled Substance","Other"
"ND","Possession of a Imitation controlled substance with intent to distribute","Possession of a Imitation controlled substance with intent to distribute","Other"
"ND","Possession of Amphetamines","Possession of Amphetamines","Other"
"ND","Possession of less than one-half ounce of marijuana (driver)","Possession of less than one-half ounce of marijuana (driver)","Other"
"ND","Possession of one-half ounce to one ounce of marijuana","Possession of one-half ounce to one ounce of marijuana","Other"
"ND","Possession of tobacco products by a minor","Possession of tobacco products by a minor","Other"
"ND","Possession of weapon not defined as dangerous","Possession of weapon not defined as dangerous","Other"
"ND","Possession/consumption of alcohol by a person under the age of 21","Possession/consumption of alcohol by a person under the age of 21","Other"
"ND","Proceeded/traveled through roadblock","Proceeded/traveled through roadblock","Safe movement"
"ND","Reckless Endangerment","Reckless Endangerment","Safe movement"
"ND","Refusal to submit to a chemical test or tests","Refusal to submit to a chemical test or tests","Other"
"ND","Refusing to submit to an onsite screening test or chemical test","Refusing to submit to an onsite screening test or chemical test","Other"
"ND","Registration","Registration","Registration/plates"
"ND","Reproducing or altering drivers license","Reproducing or altering drivers license","Other"
"ND","Resisting arrest involving a felony","Resisting arrest involving a felony","Other"
"ND","Riding more than designed for operator","Riding more than designed for operator","Other"
"ND","Sale or furnishing tobacco to a minor","Sale or furnishing tobacco to a minor","Other"
"ND","Sexual Offender Failing to Register","Sexual Offender Failing to Register","Other"
"ND","Simple Assault on a peace or corrections officer","Simple Assault on a peace or corrections officer","Other"
"ND","Snowmobile operation - general","Snowmobile operation - general","Other"
"ND","Special lighting & Warning equipment on School Bus","Special lighting & Warning equipment on School Bus","Lights"
"ND","Stop/clearance/reflector lamp bus, semi, trailer","Stop/clearance/reflector lamp bus, semi, trailer","Lights"
"ND","Stopped,standing,or parking outside business dist","Stopped,standing,or parking outside business dist","Other"
"ND","Stopping,standing,or parking where prohibited","Stopping,standing,or parking where prohibited","Other"
"ND","Tampering with physical evidence","Tampering with physical evidence","Other"
"ND","Terrorizing","Terrorizing","Other"
"ND","Theft of Property - Possession of Stolen Property","Theft of Property - Possession of Stolen Property","Other"
"ND","Theft of Property","Theft of Property","Other"
"ND","Theft of Services","Theft of Services","Other"
"ND","Towed trailer home not equipped with brakes","Towed trailer home not equipped with brakes","Equipment"
"ND","Transfer of Registered Vehicle-Removel of #plates","Transfer of Registered Vehicle-Removel of #plates","Registration/plates"
"ND","Turned from wrong lane","Turned from wrong lane","Safe movement"
"ND","Turned left in front of traffic","Turned left in front of traffic","Safe movement"
"ND","Unattended motor veh improperly parked","Unattended motor veh improperly parked","Other"
"ND","Unauthorized flashing light","Unauthorized flashing light","Lights"
"ND","Unauthorized red or green light visible from front","Unauthorized red or green light visible from front","Lights"
"ND","Unauthorized use of a vehicle","Unauthorized use of a vehicle","Other"
"ND","Unauthorized use of personal identification","Unauthorized use of personal identification","Paperwork"
"ND","Uniform Juvenile Court Act","Uniform Juvenile Court Act","Other"
"ND","Unlawful display of license plate or tab","Unlawful display of license plate or tab","Registration/plates"
"ND","Unlawful Ingestion of a Controlled Substance","Unlawful Ingestion of a Controlled Substance","Other"
"ND","Unlawful manufacture or delivery of drug paraphernalia","Unlawful manufacture or delivery of drug paraphernalia","Other"
"ND","Unlawful possession of drug paraphernalia","Unlawful possession of drug paraphernalia","Other"
"ND","Unlawful Use of Collector Plates","Unlawful Use of Collector Plates","Registration/plates"
"ND","Unlawful use of license plate or tab","Unlawful use of license plate or tab","Registration/plates"
"ND","Unlawful use of license","Unlawful use of license","License"
"ND","Use of ficitious name/address for reg. of veh.","Use of ficitious name/address for reg. of veh.","Registration/plates"
"ND","Used a Wireless communication device to compose, read, or send electronic messages while operating a motor vehicle","Used a Wireless communication device to compose, read, or send electronic messages while operating a motor vehicle","Cell phone"
"ND","Used an electronic comm. device while operating a motor vehicle - Class D lic. holder at least 16 and under 18 (lic issued after 1/12)","Used an electronic comm. device while operating a motor vehicle - Class D lic. holder at least 16 and under 18 (lic issued after 1/12)","Cell phone"
"ND","Veh equipped with lamps which has not been approv","Veh equipped with lamps which has not been approv","Lights"
"ND","Veh improperly parked on Capitol Grounds","Veh improperly parked on Capitol Grounds","Other"
"ND","Vehicle equipped with improperly aimed headlamps","Vehicle equipped with improperly aimed headlamps","Lights"
"ND","Vehicle having tinted windshield","Vehicle having tinted windshield","Equipment"
"ND","Vehicle not equipped with beam indicator","Vehicle not equipped with beam indicator","Lights"
"ND","Vehicle w/out signal lamps and signal devices","Vehicle w/out signal lamps and signal devices","Lights"
"ND","Violated Drivers License Restriction (Juv)","Violated Drivers License Restriction (Juv)","License"
"ND","Violated license or work permit restrictions","Violated license or work permit restrictions","License"
"ND","Violated mobility impaired parking - general","Violated mobility impaired parking - general","Other"
"ND","Violated parking of mobility impaired","Violated parking of mobility impaired","Other"
"ND","Violated provisions of restricted driver’s license (juvenile)","Violated provisions of restricted driver’s license (juvenile)","License"
"ND","Violated provisions of restricted driver’s license issued after 1/1/12 (juvenile)","Violated provisions of restricted driver’s license issued after 1/1/12 (juvenile)","License"
"ND","Violated Restriction of a Class M learner's permit","Violated Restriction of a Class M learner's permit","License"
"ND","Violated restrictions in temp. driving certificate","Violated restrictions in temp. driving certificate","License"
"ND","Violated right of way to funeral processions","Violated right of way to funeral processions","Safe movement"
"ND","Violated terms or conditions of OS/OW permit","Violated terms or conditions of OS/OW permit","Paperwork"
"ND","Violated yield / Failed to yield","Violated yield / Failed to yield","Safe movement"
"ND","Violation of Proclamation","Violation of Proclamation","Other"
"ND","Visibility of reflectors,clearance lamps","Visibility of reflectors,clearance lamps","Lights"
"ND","Windshield violations - general","Windshield violations - general","Equipment"
"NH","261:176","Misuse or Failure to Display Plates","Registration/plates"
"NH","261:40","Registration required","Registration/plates"
"NH","261:59","Possession of Certificate required","Paperwork"
"NH","263:1","License required: penalty","License"
"NH","263:2","Possession of License required","License"
"NH","263:64","Driving after revocation or suspension","License"
"NH","263:9","Notice of change of licensee's name or address","License"
"NH","265:102","Littering; penalty","Other"
"NH","265:107-a","Child passenger restraints required","Seat belt"
"NH","265:109","Use of lights at night","Lights"
"NH","265:114","Failure to dim headlights","Moving violation"
"NH","265:13","Lane use control signals","Safe movement"
"NH","265:22","Highway markings","Safe movement"
"NH","265:24","Driving on roadways laned for traffic","Safe movement"
"NH","265:25","Following too closely","Safe movement"
"NH","265:26","Driving on divided ways","Safe movement"
"NH","265:31","Stop signs; yield signs","Stop sign/light"
"NH","265:33","Driving of vehicles on approach of authorized emergency vehicles","Safe movement"
"NH","265:37-a","Motorist duties when approaching highway emergencies","Safe movement"
"NH","265:44","Moving a vehicle","Safe movement"
"NH","265:45","Turning movements and required signals","Safe movement"
"NH","265:60 (I)","Speed greater than is reasonable and prudent","Speeding"
"NH","265:60","Basic rule and maximum limits","Speeding"
"NH","265:69","Parking in handicapped spot","Other"
"NH","265:79-c","Use of mobile devices while driving","Cell phone"
"NH","265:79B","Negligent driving","Safe movement"
"NH","265:9","Obedience to any required traffic control devices","Safe movement"
"NH","265:95 (III)","Tinted or obstructed windshield","Equipment"
"NH","265:95","Obstruction to driver's view","Equipment"
"NH","266:31","Front lights","Lights"
"NH","266:31-a","Multiple beam lighting equipment","Lights"
"NH","266:36","Lighting required when being towed","Lights"
"NH","266:37","Spot lamps and auxiliary lamps","Lights"
"NH","266:38","Stop lamps","Lights"
"NH","266:4","Repair of defective equipment","Equipment"
"NH","266:44","Tail lamp and reflectors","Lights"
"NH","266:5","Penalty for Failing to Obey Inspection Requirements","Equipment"
"NH","266:72-a","Motor Carriers; Equipment; Roadside Inspections","Equipment"
"NV","14.60.190","Fail to pay full attention to driving","Safe movement"
"NV","199.335","Fta Failure To Appear - Misdemeanor","Other"
"NV","387.7F","Proof Of Financial Responsibility","Paperwork"
"NV","391.41","No Medical Certificate","Paperwork"
"NV","392.16","No Seat Belt","Seat belt"
"NV","393.6","Windshield Broken","Equipment"
"NV","393.75","Tires","Equipment"
"NV","395.8","Fictitious Log Book","Paperwork"
"NV","453.336","Possession Cocaine","Other"
"NV","453.336.4","Possession Of Controlled Substance Less Than 1 Ounce Marijuana","Other"
"NV","453.566","Possession Of Drug Paraphernalia","Other"
"NV","475.03","Willful/Negligent Placing Of Burning Material","Other"
"NV","482.255","Registration Certificate Must Be In Vehicle","Paperwork"
"NV","482.275","License Plates Improperly Displayed","Registration/plates"
"NV","482.28","Expiration / Renewal Registration Violation","Registration/plates"
"NV","482.283","Failure To Change Address On Registration","Paperwork"
"NV","482.385","Resident With Non Nv Registration","Paperwork"
"NV","482.545","Altered Vin Number/Etc","Paperwork"
"NV","482.5453","Suspended Vehicle Registration","Registration/plates"
"NV","482.5454","Suspended License Plates","Registration/plates"
"NV","483.245","Resident With Non Nv Drivers License","License"
"NV","483.28","Drive On Instruct Permit","License"
"NV","483.35","Fail To Surrender Drivers License On Demand","License"
"NV","483.36","Restricted License Violations","License"
"NV","483.39","Fail To Change Name/Address On Drivers License","License"
"NV","483.55","Drivers License Required","License"
"NV","483.56","Drive On Suspended/Revoked Drivers License","License"
"NV","483.57","Non Resident Driving Privilege Revoked","Paperwork"
"NV","484B.127","Following Too Closely","Safe movement"
"NV","484B.150","Drinking While Driving/Alcohol","DUI"
"NV","484B.157","Child Restraints Required","Seat belt"
"NV","484B.165","Use of cell phone/text message while driving 1st offense","Cell phone"
"NV","484B.200","Driving On Right Side Of Road Required","Safe movement"
"NV","484B.210","Improper Overtaking Of Vehicle On Right","Safe movement"
"NV","484B.217","No Passing Zones","Safe movement"
"NV","484B.223","Center Turn Lane Violation","Safe movement"
"NV","484B.253","Fail To Yield Right Of Way Left Turn","Safe movement"
"NV","484B.257","Fail To Yield Right Of Way At Yield Sign","Safe movement"
"NV","484B.267","Fail To Yield To Emergency Vehicle","Safe movement"
"NV","484B.283","Fail To Yield Right Of Way To Pedestrian","Safe movement"
"NV","484B.287","Crossing At Other Than Crosswalks","Other"
"NV","484B.300","Fail To Obey No U Turn Sign","Safe movement"
"NV","484B.303","Disobeying Directions Of Traffic Control Devices","Safe movement"
"NV","484B.307","Driver Making Right Turn Fail to Stop at Red Light","Stop sign/light"
"NV","484B.323","Violation Of Hov/Carpool Lane Regulations","Moving violation"
"NV","484B.363","Speeding In A School Zone","Speeding"
"NV","484B.400","Improper Turn At Intersection","Safe movement"
"NV","484B.403","Improper U Turns","Safe movement"
"NV","484B.410","Improper Starting Of Vehicle From Stopped Position","Moving violation"
"NV","484B.413","Improper Turn/Stop Without Signal","Safe movement"
"NV","484B.417","Failure To Signal","Safe movement"
"NV","484B.450","Illegal Stop/Stand Or Park","Other"
"NV","484B.587","Disobey Restricted Access","Safe movement"
"NV","484B.600","Basic Speed 1 10 Over Limit","Speeding"
"NV","484B.603","Failure To Use Due Care","Safe movement"
"NV","484B.607","Fail To Decrease Speed Upon Approach Of Stopped Emergency Vehicle","Safe movement"
"NV","484B.617","Rural Speed","Speeding"
"NV","484B.627","Impeding Traffic","Other"
"NV","484B.653","Reckless Driving","Safe movement"
"NV","484C.110","Driving Under The Influence Of Alcohol","DUI"
"NV","484C.400","Driving Under The Influence","DUI"
"NV","484D.100","Headlights Required","Lights"
"NV","484D.110","Head Lights Required","Lights"
"NV","484D.115","Car - Tail Lamps Required","Lights"
"NV","484D.125","Stop Lamps Required","Lights"
"NV","484D.145","Improper Color Of Lamps","Lights"
"NV","484D.435","Windshields And Windows Must Be Unobstructed","Equipment"
"NV","484D.440","Tinting Of Windshield Or Windows Of Vehicle","Equipment"
"NV","484D.495","No Seat Belt - NRS","Seat belt"
"NV","484D.850","Spilling Load On Highway Prohibited","Other"
"NV","484E.020","Hit And Run Property Damage","Safe movement"
"NV","484E.030","Duty To Give Information And Render Aid","Other"
"NV","485.185","Proof Of Insurance Required","Paperwork"
"NV","485.187","Unlawful Acts Financial Responsibility","Paperwork"
"NV","706.541","Nevada Trip Permit Required","Paperwork"
"NJ","19:9-1.17 OPERATION OF VEHICLES ON AUTHORITY PROJECTS","OPERATION OF VEHICLES ON AUTHORITY PROJECTS","Safe movement"
"NJ","19:9-1.2 SPEED LIMITS","SPEED LIMITS","Speeding"
"NJ","19:9-1.2A SPEED LIMITS 65 MPH","SPEED LIMITS 65 MPH","Speeding"
"NJ","19:9-1.3C DISREGARD OF TPK SIGNS","DISREGARD OF TPK SIGNS","Stop sign/light"
"NJ","19:9-1.6 PARKING, STANDING OR STOPPING ON ROADWAY PROHIBITED","PARKING, STANDING OR STOPPING ON ROADWAY PROHIBITED","Safe movement"
"NJ","2A16010","Fugitives from justice found in this state","Other"
"NJ","2C121","Criminal simulation","Other"
"NJ","2C207","Receiving stolen property","Other"
"NJ","2C291","Obstructing administration of law or other governmental function","Other"
"NJ","2C292","Resisting arrest, eluding officer","Other"
"NJ","2C293","Hindering apprehension or prosecution","Other"
"NJ","2C299","Contempt","Other"
"NJ","2C3315","Possession, consumption of alcoholic beverages by persons under legal age; penalty","DUI"
"NJ","2C332","Disorderly conduct","Other"
"NJ","2C3510","Possession, use or being under the influence, or failure to make lawful disposition","Other"
"NJ","2C3510.","Possession, use or being under the influence, or failure to make lawful disposition","Other"
"NJ","2C3510.5","Prescription legend drugs","Other"
"NJ","2C3510.5E(2)","Prescription legend drugs","Other"
"NJ","2C3510A(1)","A controlled dangerous substance, or its analog","Other"
"NJ","2C3510A(3)","Possession of more than 50 grams of marijuana","Other"
"NJ","2C3510A(4)","Possession of 50 grams or less of marijuana","Other"
"NJ","2C355","Manufacturing, distributing or dispensing","Other"
"NJ","2C355A(1)","Manufacturing, distributing or dispensing","Other"
"NJ","2C362","Use or possession with intent to use, disorderly persons offense","Other"
"NJ","2C362.","Use or possession with intent to use, disorderly persons offense","Other"
"NJ","2C366","Possession or distribution of hypodermic syringe or needle","Other"
"NJ","39450","Driving while intoxicated","DUI"
"NJ","39:3-10 UNLICENSED DRIVER","UNLICENSED DRIVER","License"
"NJ","39:3-17 TOUR PRIVILEGES NON RES","TOUR PRIVILEGES NON RES","Other"
"NJ","39:3-29 LIC, REG, INSURANCE","LIC, REG, INSURANCE","Registration/plates"
"NJ","39:3-29A FAIL POSS DRIV LIC","FAIL POSS DRIV LIC","License"
"NJ","39:3-29B FAIL TO POSS DRIV REG","FAIL TO POSS DRIV REG","License"
"NJ","39:3-29C FAIL TO POSS DRIV INS CARD","FAIL TO POSS DRIV INS CARD","License"
"NJ","39:3-33 REG PLATES / FICTITIOUS","REG PLATES / FICTITIOUS","Registration/plates"
"NJ","39:3-4 UNREGISTERED VEHICLE","UNREGISTERED VEHICLE","Registration/plates"
"NJ","39:3-40 DRIVE WITHOUT LICENSE","DRIVE WITHOUT LICENSE","License"
"NJ","39:3-66 MAINTENANCE ILLUM DEVICE","MAINTENANCE ILLUM DEVICE","Lights"
"NJ","39:3-74 WINDSHIELD WIPERS","WINDSHIELD WIPERS","Equipment"
"NJ","39:3-75 SAFETY GLASS DEFINED","SAFETY GLASS DEFINED","Equipment"
"NJ","39:3-76.2A CHILD RESTRAINT","CHILD RESTRAINT","Seat belt"
"NJ","39:3-76.2F REQ WEARING SEATBELTS","REQ WEARING SEATBELTS","Seat belt"
"NJ","39:4-126 APPROPRIATE SIGNALS","APPROPRIATE SIGNALS","Lights"
"NJ","39:4-144 STOP/YIELD RIGHT OF WAY","STOP/YIELD RIGHT OF WAY","Stop sign/light"
